OFFENSE,BLOCK_GROUP,COUNT(*)
HOMICIDE,,2
HOMICIDE,"000202 1",1
HOMICIDE,"000202 2",1
HOMICIDE,"000202 4",1
HOMICIDE,"000400 2",5
HOMICIDE,"000702 1",1
HOMICIDE,"001500 1",1
HOMICIDE,"001702 1",1
HOMICIDE,"001702 2",1
HOMICIDE,"001803 1",1
HOMICIDE,"001804 1",1
HOMICIDE,"001804 3",1
HOMICIDE,"001901 3",1
HOMICIDE,"001901 4",1
HOMICIDE,"001902 1",1
HOMICIDE,"002001 1",2
HOMICIDE,"002002 2",3
HOMICIDE,"002002 3",2
HOMICIDE,"002101 2",2
HOMICIDE,"002101 4",4
HOMICIDE,"002101 5",1
HOMICIDE,"002102 4",1
HOMICIDE,"002201 1",3
HOMICIDE,"002201 2",2
HOMICIDE,"002202 2",2
HOMICIDE,"002301 1",1
HOMICIDE,"002400 2",1
HOMICIDE,"002400 3",1
HOMICIDE,"002502 1",1
HOMICIDE,"002502 2",1
HOMICIDE,"002502 4",1
HOMICIDE,"002701 2",1
HOMICIDE,"002702 1",2
HOMICIDE,"002801 1",2
HOMICIDE,"002801 2",4
HOMICIDE,"002802 1",3
HOMICIDE,"002802 2",2
HOMICIDE,"002900 1",1
HOMICIDE,"002900 2",1
HOMICIDE,"003000 2",1
HOMICIDE,"003100 1",5
HOMICIDE,"003200 1",1
HOMICIDE,"003200 2",1
HOMICIDE,"003301 3",1
HOMICIDE,"003302 1",2
HOMICIDE,"003302 2",5
HOMICIDE,"003400 2",1
HOMICIDE,"003500 1",7
HOMICIDE,"003600 2",1
HOMICIDE,"003600 3",3
HOMICIDE,"003700 2",1
HOMICIDE,"003800 1",2
HOMICIDE,"003800 3",2
HOMICIDE,"003900 1",1
HOMICIDE,"003900 2",1
HOMICIDE,"004100 1",1
HOMICIDE,"004300 1",2
HOMICIDE,"004300 2",1
HOMICIDE,"004400 2",5
HOMICIDE,"004600 1",3
HOMICIDE,"004600 2",2
HOMICIDE,"004701 1",2
HOMICIDE,"004701 2",4
HOMICIDE,"004702 1",2
HOMICIDE,"004801 1",2
HOMICIDE,"004802 1",1
HOMICIDE,"004802 2",3
HOMICIDE,"004901 1",3
HOMICIDE,"004901 2",1
HOMICIDE,"004902 1",2
HOMICIDE,"005001 2",1
HOMICIDE,"005002 3",2
HOMICIDE,"005500 3",1
HOMICIDE,"005800 1",2
HOMICIDE,"005900 1",4
HOMICIDE,"006202 1",3
HOMICIDE,"006400 1",4
HOMICIDE,"006400 2",3
HOMICIDE,"006802 2",1
HOMICIDE,"007000 2",1
HOMICIDE,"007100 1",1
HOMICIDE,"007100 2",4
HOMICIDE,"007200 1",4
HOMICIDE,"007200 2",2
HOMICIDE,"007304 1",10
HOMICIDE,"007304 2",2
HOMICIDE,"007304 3",4
HOMICIDE,"007401 1",9
HOMICIDE,"007401 2",6
HOMICIDE,"007403 1",12
HOMICIDE,"007404 1",3
HOMICIDE,"007404 2",2
HOMICIDE,"007404 3",9
HOMICIDE,"007406 1",4
HOMICIDE,"007406 2",17
HOMICIDE,"007407 2",10
HOMICIDE,"007408 1",15
HOMICIDE,"007409 2",4
HOMICIDE,"007409 3",6
HOMICIDE,"007502 1",15
HOMICIDE,"007502 2",9
HOMICIDE,"007503 1",14
HOMICIDE,"007503 2",2
HOMICIDE,"007504 1",15
HOMICIDE,"007601 1",6
HOMICIDE,"007601 3",5
HOMICIDE,"007601 4",5
HOMICIDE,"007601 5",2
HOMICIDE,"007603 1",5
HOMICIDE,"007603 3",1
HOMICIDE,"007604 1",2
HOMICIDE,"007604 2",3
HOMICIDE,"007605 2",4
HOMICIDE,"007605 3",10
HOMICIDE,"007703 1",1
HOMICIDE,"007703 2",1
HOMICIDE,"007703 3",9
HOMICIDE,"007703 4",1
HOMICIDE,"007707 1",8
HOMICIDE,"007707 2",2
HOMICIDE,"007708 1",2
HOMICIDE,"007708 2",3
HOMICIDE,"007709 1",2
HOMICIDE,"007803 1",3
HOMICIDE,"007803 3",1
HOMICIDE,"007803 4",2
HOMICIDE,"007804 1",2
HOMICIDE,"007804 2",16
HOMICIDE,"007806 1",4
HOMICIDE,"007806 2",5
HOMICIDE,"007807 1",5
HOMICIDE,"007807 2",6
HOMICIDE,"007808 1",10
HOMICIDE,"007808 2",9
HOMICIDE,"007809 1",6
HOMICIDE,"007809 2",3
HOMICIDE,"007901 1",9
HOMICIDE,"007901 2",1
HOMICIDE,"007901 3",2
HOMICIDE,"007901 4",6
HOMICIDE,"008001 1",6
HOMICIDE,"008001 3",4
HOMICIDE,"008002 2",1
HOMICIDE,"008302 1",2
HOMICIDE,"008402 2",1
HOMICIDE,"008410 1",4
HOMICIDE,"008701 1",2
HOMICIDE,"008701 2",1
HOMICIDE,"008702 1",4
HOMICIDE,"008702 2",1
HOMICIDE,"008802 2",3
HOMICIDE,"008802 3",2
HOMICIDE,"008802 4",1
HOMICIDE,"008803 1",18
HOMICIDE,"008804 1",3
HOMICIDE,"008804 2",5
HOMICIDE,"008903 1",4
HOMICIDE,"008904 1",10
HOMICIDE,"008904 2",8
HOMICIDE,"009000 2",1
HOMICIDE,"009102 1",2
HOMICIDE,"009102 2",11
HOMICIDE,"009102 3",4
HOMICIDE,"009203 2",4
HOMICIDE,"009204 1",4
HOMICIDE,"009204 2",3
HOMICIDE,"009301 1",1
HOMICIDE,"009301 3",1
HOMICIDE,"009302 1",2
HOMICIDE,"009501 3",1
HOMICIDE,"009503 1",2
HOMICIDE,"009503 2",1
HOMICIDE,"009504 1",2
HOMICIDE,"009505 1",2
HOMICIDE,"009505 3",3
HOMICIDE,"009507 1",3
HOMICIDE,"009508 1",1
HOMICIDE,"009601 1",11
HOMICIDE,"009602 1",5
HOMICIDE,"009603 1",1
HOMICIDE,"009603 2",2
HOMICIDE,"009604 1",1
HOMICIDE,"009604 2",4
HOMICIDE,"009700 1",8
HOMICIDE,"009801 1",6
HOMICIDE,"009802 1",1
HOMICIDE,"009802 2",2
HOMICIDE,"009803 1",1
HOMICIDE,"009803 2",2
HOMICIDE,"009803 3",12
HOMICIDE,"009804 1",8
HOMICIDE,"009804 2",2
HOMICIDE,"009807 1",3
HOMICIDE,"009807 2",13
HOMICIDE,"009810 1",8
HOMICIDE,"009810 2",1
HOMICIDE,"009811 1",7
HOMICIDE,"009811 2",13
HOMICIDE,"009901 2",1
HOMICIDE,"009903 1",4
HOMICIDE,"009903 2",3
HOMICIDE,"009904 1",3
HOMICIDE,"009905 1",5
HOMICIDE,"009905 2",2
HOMICIDE,"009905 3",3
HOMICIDE,"009906 1",7
HOMICIDE,"009907 1",3
HOMICIDE,"009907 2",18
HOMICIDE,"010100 1",1
HOMICIDE,"010200 2",2
HOMICIDE,"010300 1",1
HOMICIDE,"010400 1",7
HOMICIDE,"010400 2",11
HOMICIDE,"010600 2",6
HOMICIDE,"010700 1",1
HOMICIDE,"010900 1",7
HOMICIDE,"010900 2",5
HOMICIDE,"011000 2",1
HOMICIDE,"011100 1",1
HOMICIDE,"011100 2",2
HOMICIDE,"011100 3",3
